2MASSJ10560422-6152054,10h56m04.22s -61d52m05.4s
2MASSJ11175186-6402056,11h17m51.86s -64d02m05.6s
2MASSJ11275535-6626046,11h27m55.35s -66d26m04.6s
2MASSJ11454278-5739285,11h45m42.78s -57d39m28.5s
2MASSJ12065276-5044463,12h06m52.76s -50d44m46.3s
2MASSJ12090225-5120410,12h09m02.25s -51d20m41s
2MASSJ12101065-4855476,12h10m10.65s -48d55m47.6s
2MASSJ12113142-5816533,12h11m31.42s -58d16m53.3s
2MASSJ12121119-4950081,12h12m11.19s -49d50m08.1s
2MASSJ12163007-6711477,12h16m30.07s -67d11m47.7s
2MASSJ12164023-7007361,12h16m40.23s -70d07m36.1s
2MASSJ12195938-5018404,12h19m59.38s -50d18m40.4s
2MASSJ12210499-7116493,12h21m04.99s -71d16m49.3s
2MASSJ12220430-4841248,12h22m04.3s -48d41m24.8s
2MASSJ12240975-6003416,12h24m09.75s -60d03m41.6s
2MASSJ12264842-5215070,12h26m48.42s -52d15m07s
2MASSJ12302957-5222269,12h30m29.57s -52d22m26.9s
2MASSJ12333381-5714066,12h33m33.81s -57d14m06.6s
2MASSJ12361767-5042421,12h36m17.67s -50d42m42.1s
2MASSJ12365895-5412178,12h36m58.95s -54d12m17.8s
2MASSJ12374883-5209463,12h37m48.83s -52d09m46.3s
2MASSJ12383556-5916438,12h38m35.56s -59d16m43.8s
2MASSJ12391404-5454469,12h39m14.04s -54d54m46.9s
2MASSJ12404664-5211046,12h40m46.64s -52d11m04.6s
2MASSJ12405458-5031550,12h40m54.58s -50d31m55s
2MASSJ12454884-5410583,12h45m48.84s -54d10m58.3s
2MASSJ12480778-4439167,12h48m07.78s -44d39m16.7s
2MASSJ12505143-5156353,12h50m51.43s -51d56m35.3s
2MASSJ13015069-5304581,13h01m50.69s -53d04m58.1s
2MASSJ13064012-5159386,13h06m40.12s -51d59m38.6s
2MASSJ13065439-4541313,13h06m54.39s -45d41m31.3s
2MASSJ13095880-4527388,13h09m58.8s -45d27m38.8s
2MASSJ13251211-6456207,13h25m12.11s -64d56m20.7s
2MASSJ13334410-6359345,13h33m44.1s -63d59m34.5s
2MASSJ13343188-4209305,13h34m31.88s -42d09m30.5s
2MASSJ13354082-4818124,13h35m40.82s -48d18m12.4s
2MASSJ13380596-4344564,13h38m05.96s -43d44m56.4s
2MASSJ13381128-5214251,13h38m11.28s -52d14m25.1s
2MASSJ13444279-6347495,13h44m42.79s -63d47m49.5s
2MASSJ13455599-5222255,13h45m55.99s -52d22m25.5s
2MASSJ10065573-6352086,10h06m55.73s -63d52m08.6s
2MASSJ11272881-3952572,11h27m28.81s -39d52m57.2s
2MASSJ12160114-5614068,12h16m01.14s -56d14m06.8s
2MASSJ12210808-5212226,12h21m08.08s -52d12m22.6s
2MASSJ12560830-6926539,12h56m08.3s -69d26m53.9s
2MASSJ13015435-4249422,13h01m54.35s -42d49m42.2s
2MASSJ13103245-4817036,13h10m32.45s -48d17m03.6s
2MASSJ13130714-4537438,13h13m07.14s -45d37m43.8s
2MASSJ13174687-4456534,13h17m46.87s -44d56m53.4s
2MASSJ13335481-6536414,13h33m54.81s -65d36m41.4s
